Class ID,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
00001,Freshman,43,43,INTRODUCTION TO BUSINESS [A1],A1,-,Theory,Monday,12:30 PM,2:00 PM,3207,FACULTY OF BUSINESS ADMINISTRATION
00001,Freshman,43,43,INTRODUCTION TO BUSINESS [A1],A1,-,Theory,Wednesday,12:30 PM,2:00 PM,3207,FACULTY OF BUSINESS ADMINISTRATION
00002,Freshman,42,41,INTRODUCTION TO BUSINESS [A2],A2,-,Theory,Sunday,8:00 AM,9:30 AM,5113,FACULTY OF BUSINESS ADMINISTRATION
00002,Freshman,42,41,INTRODUCTION TO BUSINESS [A2],A2,-,Theory,Tuesday,8:00 AM,9:30 AM,5113,FACULTY OF BUSINESS ADMINISTRATION
00003,Freshman,41,41,INTRODUCTION TO BUSINESS [A3],A3,-,Theory,Monday,8:00 AM,9:30 AM,2212,FACULTY OF BUSINESS ADMINISTRATION
00003,Freshman,41,41,INTRODUCTION TO BUSINESS [A3],A3,-,Theory,Wednesday,8:00 AM,9:30 AM,2212,FACULTY OF BUSINESS ADMINISTRATION
00004,Freshman,41,41,INTRODUCTION TO BUSINESS [A4],A4,-,Theory,Sunday,9:30 AM,11:00 AM,5111,FACULTY OF BUSINESS ADMINISTRATION
00004,Freshman,41,41,INTRODUCTION TO BUSINESS [A4],A4,-,Theory,Tuesday,9:30 AM,11:00 AM,5111,FACULTY OF BUSINESS ADMINISTRATION
00005,Freshman,42,42,INTRODUCTION TO BUSINESS [A5],A5,-,Theory,Monday,12:30 PM,2:00 PM,3120,FACULTY OF BUSINESS ADMINISTRATION
00005,Freshman,42,42,INTRODUCTION TO BUSINESS [A5],A5,-,Theory,Wednesday,12:30 PM,2:00 PM,3120,FACULTY OF BUSINESS ADMINISTRATION
00006,Freshman,40,40,INTRODUCTION TO BUSINESS [A6],A6,-,Theory,Monday,8:00 AM,9:30 AM,3120,FACULTY OF BUSINESS ADMINISTRATION
00006,Freshman,40,40,INTRODUCTION TO BUSINESS [A6],A6,-,Theory,Wednesday,8:00 AM,9:30 AM,3120,FACULTY OF BUSINESS ADMINISTRATION
00007,Freshman,43,43,INTRODUCTION TO BUSINESS [A7],A7,-,Theory,Sunday,12:30 PM,2:00 PM,5111,FACULTY OF BUSINESS ADMINISTRATION
00007,Freshman,43,43,INTRODUCTION TO BUSINESS [A7],A7,-,Theory,Tuesday,12:30 PM,2:00 PM,5111,FACULTY OF BUSINESS ADMINISTRATION
00008,Cancel,40,0,INTRODUCTION TO BUSINESS [A8],A8,-,Theory,Monday,2:00 PM,3:30 PM,DN0610,FACULTY OF BUSINESS ADMINISTRATION
00008,Cancel,40,0,INTRODUCTION TO BUSINESS [A8],A8,-,Theory,Wednesday,2:00 PM,3:30 PM,DN0610,FACULTY OF BUSINESS ADMINISTRATION
00009,Freshman,40,0,INTRODUCTION TO BUSINESS [A9],A9,-,Theory,Sunday,8:00 AM,9:30 AM,DN0610,FACULTY OF BUSINESS ADMINISTRATION
00009,Freshman,40,0,INTRODUCTION TO BUSINESS [A9],A9,-,Theory,Tuesday,8:00 AM,9:30 AM,DN0610,FACULTY OF BUSINESS ADMINISTRATION
00010,Freshman,40,0,INTRODUCTION TO BUSINESS [A10],A10,-,Theory,Sunday,2:00 PM,3:30 PM,DS0605,FACULTY OF BUSINESS ADMINISTRATION
00010,Freshman,40,0,INTRODUCTION TO BUSINESS [A10],A10,-,Theory,Tuesday,2:00 PM,3:30 PM,DS0605,FACULTY OF BUSINESS ADMINISTRATION
00011,Freshman,40,0,INTRODUCTION TO BUSINESS [A11],A11,-,Theory,Sunday,12:30 PM,2:00 PM,DS0805,FACULTY OF BUSINESS ADMINISTRATION
00011,Freshman,40,0,INTRODUCTION TO BUSINESS [A11],A11,-,Theory,Tuesday,12:30 PM,2:00 PM,DS0805,FACULTY OF BUSINESS ADMINISTRATION
00012,Reserved,40,0,INTRODUCTION TO BUSINESS [A],A,-,Theory,Sunday,8:00 AM,9:30 AM,3118,FACULTY OF BUSINESS ADMINISTRATION
00012,Reserved,40,0,INTRODUCTION TO BUSINESS [A],A,-,Theory,Tuesday,8:00 AM,9:30 AM,3118,FACULTY OF BUSINESS ADMINISTRATION
00013,Cancel,40,0,INTRODUCTION TO BUSINESS [B],B,-,Theory,Monday,9:30 AM,11:00 AM,3105,FACULTY OF BUSINESS ADMINISTRATION
00013,Cancel,40,0,INTRODUCTION TO BUSINESS [B],B,-,Theory,Wednesday,9:30 AM,11:00 AM,3105,FACULTY OF BUSINESS ADMINISTRATION
00014,Freshman,43,43,FINANCIAL ACCOUNTING [A1],A1,-,Theory,Monday,8:00 AM,9:30 AM,2210,FACULTY OF BUSINESS ADMINISTRATION
00014,Freshman,43,43,FINANCIAL ACCOUNTING [A1],A1,-,Theory,Wednesday,8:00 AM,9:30 AM,2210,FACULTY OF BUSINESS ADMINISTRATION
00015,Freshman,42,41,FINANCIAL ACCOUNTING [A2],A2,-,Theory,Sunday,9:30 AM,11:00 AM,5113,FACULTY OF BUSINESS ADMINISTRATION
